   rx:     4.87 Gbit/s 74372 p/s          tx:      576 kbit/s  1164 p/s
   rx:     5.36 Gbit/s 81833 p/s          tx:      664 kbit/s  1338 p/s
   rx:     5.40 Gbit/s 82456 p/s          tx:      652 kbit/s  1312 p/s
   rx:     5.39 Gbit/s 82191 p/s          tx:      660 kbit/s  1330 p/s
   rx:     5.34 Gbit/s 81553 p/s          tx:      660 kbit/s  1327 p/s
   rx:     5.37 Gbit/s 81988 p/s          tx:      656 kbit/s  1326 p/s
   rx:     4.80 Gbit/s 73314 p/s          tx:      592 kbit/s  1190 p/s
   rx:     5.32 Gbit/s 81103 p/s          tx:      652 kbit/s  1319 p/s
   rx:     5.37 Gbit/s 81964 p/s          tx:      664 kbit/s  1335 p/s
   rx:     5.40 Gbit/s 82384 p/s          tx:      660 kbit/s  1327 p/s
   rx:     5.38 Gbit/s 82161 p/s          tx:      668 kbit/s  1348 p/s
   rx:     5.45 Gbit/s 83207 p/s          tx:      672 kbit/s  1353 p/s
   rx:     5.38 Gbit/s 82135 p/s          tx:      664 kbit/s  1339 p/s
   rx:     4.84 Gbit/s 73789 p/s          tx:      592 kbit/s  1194 p/s
   rx:     5.15 Gbit/s 78601 p/s          tx:      636 kbit/s  1282 p/s
   rx:     5.36 Gbit/s 81845 p/s          tx:      652 kbit/s  1318 p/s
   rx:     5.37 Gbit/s 81929 p/s          tx:      660 kbit/s  1327 p/s
   rx:     5.38 Gbit/s 82057 p/s          tx:      664 kbit/s  1339 p/s
   rx:     5.07 Gbit/s 77416 p/s          tx:      620 kbit/s  1257 p/s
   rx:     4.94 Gbit/s 75371 p/s          tx:      604 kbit/s  1222 p/s
   rx:     4.09 Gbit/s 62454 p/s          tx:      492 kbit/s   995 p/s
   rx:     3.57 Gbit/s 54409 p/s          tx:      436 kbit/s   885 p/s
   rx:     3.43 Gbit/s 52363 p/s          tx:      428 kbit/s   869 p/s
   rx:     3.26 Gbit/s 49651 p/s          tx:      392 kbit/s   794 p/s
   rx:     3.06 Gbit/s 46694 p/s          tx:      368 kbit/s   747 p/s
