   rx:   755.28 Mbit/s  2342 p/s          tx:      640 kbit/s  1243 p/s
   rx:   775.37 Mbit/s  2428 p/s          tx:      692 kbit/s  1342 p/s
   rx:   766.08 Mbit/s  2443 p/s          tx:      696 kbit/s  1348 p/s
   rx:   826.98 Mbit/s  3008 p/s          tx:      808 kbit/s  1565 p/s
   rx:   830.40 Mbit/s  2987 p/s          tx:      800 kbit/s  1555 p/s
   rx:   833.04 Mbit/s  2860 p/s          tx:      824 kbit/s  1595 p/s
   rx:   836.00 Mbit/s  2901 p/s          tx:      832 kbit/s  1610 p/s
   rx:   833.80 Mbit/s  2918 p/s          tx:      868 kbit/s  1681 p/s
   rx:   838.46 Mbit/s  2935 p/s          tx:      868 kbit/s  1685 p/s
   rx:   836.98 Mbit/s  2917 p/s          tx:      856 kbit/s  1661 p/s
   rx:   836.76 Mbit/s  2953 p/s          tx:      864 kbit/s  1674 p/s
   rx:   837.99 Mbit/s  2975 p/s          tx:      876 kbit/s  1702 p/s
   rx:   836.22 Mbit/s  2939 p/s          tx:      864 kbit/s  1678 p/s
   rx:   838.26 Mbit/s  2959 p/s          tx:      868 kbit/s  1686 p/s
   rx:   836.27 Mbit/s  2959 p/s          tx:      872 kbit/s  1690 p/s
   rx:   837.99 Mbit/s  2981 p/s          tx:      876 kbit/s  1695 p/s
