   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   198 p/s
   rx:     1.05 Gbit/s 16074 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12070 p/s          tx:      100 kbit/s   198 p/s
   rx:   791.37 Mbit/s 12082 p/s          tx:      132 kbit/s   263 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:       96 kbit/s   190 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:       92 kbit/s   181 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:       92 kbit/s   183 p/s
   rx:   790.84 Mbit/s 12071 p/s          tx:      120 kbit/s   242 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.84 Mbit/s 12248 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.83 Mbit/s 12218 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12086 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   201 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.84 Mbit/s 12067 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:     1.05 Gbit/s 16083 p/s          tx:      112 kbit/s   224 p/s
   rx:   790.25 Mbit/s 12058 p/s          tx:       88 kbit/s   180 p/s
   rx:   790.71 Mbit/s 12065 p/s          tx:       96 kbit/s   192 p/s
   rx:   777.82 Mbit/s 11870 p/s          tx:      100 kbit/s   199 p/s
   rx:   717.83 Mbit/s 11027 p/s          tx:      100 kbit/s   199 p/s
   rx:   713.60 Mbit/s 10988 p/s          tx:      100 kbit/s   199 p/s
   rx:   716.38 Mbit/s 11166 p/s          tx:      100 kbit/s   199 p/s
   rx:   765.57 Mbit/s 11767 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12078 p/s          tx:      100 kbit/s   199 p/s
   rx:     1.05 Gbit/s 16084 p/s          tx:      104 kbit/s   210 p/s
   rx:   790.84 Mbit/s 12071 p/s          tx:      124 kbit/s   253 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.71 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.84 Mbit/s 12070 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.71 Mbit/s 12064 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:       96 kbit/s   197 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   197 p/s
   rx:   790.78 Mbit/s 12065 p/s          tx:       92 kbit/s   185 p/s
   rx:   790.78 Mbit/s 12069 p/s          tx:      104 kbit/s   213 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:       96 kbit/s   196 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12066 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   200 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12067 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   198 p/s
   rx:   790.78 Mbit/s 12068 p/s          tx:      100 kbit/s   199 p/s
