   rx:   178.49 Mbit/s  2653 p/s          tx:      848 kbit/s  1500 p/s
   rx:   178.22 Mbit/s  2616 p/s          tx:      848 kbit/s  1499 p/s
   rx:   178.93 Mbit/s  2627 p/s          tx:      844 kbit/s  1492 p/s
   rx:   161.58 Mbit/s  2406 p/s          tx:      756 kbit/s  1333 p/s
   rx:   196.36 Mbit/s  2877 p/s          tx:      864 kbit/s  1514 p/s
   rx:   179.86 Mbit/s  2721 p/s          tx:      852 kbit/s  1511 p/s
   rx:   179.65 Mbit/s  2838 p/s          tx:      852 kbit/s  1509 p/s
   rx:   182.79 Mbit/s  2833 p/s          tx:      860 kbit/s  1524 p/s
   rx:   204.70 Mbit/s  3006 p/s          tx:     1.00 Mbit/s  1771 p/s
   rx:   204.76 Mbit/s  3020 p/s          tx:      980 kbit/s  1735 p/s
   rx:   183.07 Mbit/s  2706 p/s          tx:      872 kbit/s  1542 p/s
   rx:   204.44 Mbit/s  3013 p/s          tx:      988 kbit/s  1755 p/s
   rx:   205.02 Mbit/s  3014 p/s          tx:      992 kbit/s  1755 p/s
   rx:   205.02 Mbit/s  3011 p/s          tx:      980 kbit/s  1739 p/s
   rx:   182.20 Mbit/s  2693 p/s          tx:      868 kbit/s  1537 p/s
   rx:   204.72 Mbit/s  2980 p/s          tx:      992 kbit/s  1760 p/s
   rx:   182.49 Mbit/s  2687 p/s          tx:      872 kbit/s  1541 p/s
   rx:   204.26 Mbit/s  3034 p/s          tx:      984 kbit/s  1746 p/s
   rx:   205.66 Mbit/s  3015 p/s          tx:      992 kbit/s  1762 p/s
   rx:   182.16 Mbit/s  2683 p/s          tx:      860 kbit/s  1522 p/s
   rx:   204.29 Mbit/s  2962 p/s          tx:      992 kbit/s  1762 p/s
   rx:   204.60 Mbit/s  3001 p/s          tx:      988 kbit/s  1749 p/s
   rx:   181.82 Mbit/s  2724 p/s          tx:      860 kbit/s  1519 p/s
