   rx:   169.86 Mbit/s  1990 p/s          tx:      632 kbit/s  1099 p/s
   rx:   179.19 Mbit/s  2630 p/s          tx:      844 kbit/s  1495 p/s
   rx:   207.34 Mbit/s  3026 p/s          tx:     1.00 Mbit/s  1772 p/s
   rx:   179.90 Mbit/s  2631 p/s          tx:      848 kbit/s  1500 p/s
   rx:   179.48 Mbit/s  2629 p/s          tx:      792 kbit/s  1393 p/s
   rx:   206.40 Mbit/s  3008 p/s          tx:      956 kbit/s  1685 p/s
   rx:   205.19 Mbit/s  3139 p/s          tx:      960 kbit/s  1697 p/s
   rx:   206.36 Mbit/s  3250 p/s          tx:     1.00 Mbit/s  1775 p/s
   rx:   191.60 Mbit/s  2859 p/s          tx:      920 kbit/s  1632 p/s
   rx:   177.27 Mbit/s  2570 p/s          tx:      828 kbit/s  1465 p/s
   rx:   203.86 Mbit/s  3006 p/s          tx:      984 kbit/s  1741 p/s
   rx:   187.14 Mbit/s  2773 p/s          tx:      892 kbit/s  1580 p/s
   rx:   202.94 Mbit/s  2948 p/s          tx:      948 kbit/s  1676 p/s
   rx:   204.30 Mbit/s  2977 p/s          tx:      948 kbit/s  1676 p/s
   rx:   181.32 Mbit/s  2646 p/s          tx:      784 kbit/s  1375 p/s
   rx:   196.56 Mbit/s  2880 p/s          tx:      940 kbit/s  1668 p/s
   rx:   131.09 Mbit/s  1946 p/s          tx:      492 kbit/s   848 p/s
   rx:   191.96 Mbit/s  2845 p/s          tx:      880 kbit/s  1548 p/s
   rx:   198.60 Mbit/s  2935 p/s          tx:      948 kbit/s  1679 p/s
   rx:   204.32 Mbit/s  3052 p/s          tx:      980 kbit/s  1737 p/s
   rx:   182.97 Mbit/s  2784 p/s          tx:      804 kbit/s  1412 p/s
   rx:   184.77 Mbit/s  2798 p/s          tx:      808 kbit/s  1415 p/s
   rx:   205.32 Mbit/s  3126 p/s          tx:      972 kbit/s  1718 p/s
   rx:   203.43 Mbit/s  3060 p/s          tx:      964 kbit/s  1706 p/s
   rx:   206.27 Mbit/s  3097 p/s          tx:      980 kbit/s  1738 p/s
   rx:   206.19 Mbit/s  3057 p/s          tx:     1.00 Mbit/s  1773 p/s
   rx:   204.05 Mbit/s  3002 p/s          tx:      972 kbit/s  1718 p/s
   rx:   202.56 Mbit/s  2962 p/s          tx:      948 kbit/s  1679 p/s
   rx:   197.54 Mbit/s  2928 p/s          tx:      936 kbit/s  1655 p/s
   rx:   189.94 Mbit/s  2790 p/s          tx:      892 kbit/s  1581 p/s
   rx:   202.60 Mbit/s  2989 p/s          tx:      960 kbit/s  1695 p/s
   rx:   189.08 Mbit/s  2813 p/s          tx:      924 kbit/s  1637 p/s
