   rx:     4.68 Gbit/s 71346 p/s          tx:      568 kbit/s  1144 p/s
   rx:     4.55 Gbit/s 69381 p/s          tx:      564 kbit/s  1134 p/s
   rx:     4.59 Gbit/s 69981 p/s          tx:      580 kbit/s  1170 p/s
   rx:     4.64 Gbit/s 70743 p/s          tx:      556 kbit/s  1117 p/s
   rx:     4.57 Gbit/s 69782 p/s          tx:      584 kbit/s  1181 p/s
   rx:     4.65 Gbit/s 70955 p/s          tx:      556 kbit/s  1124 p/s
   rx:     4.57 Gbit/s 69795 p/s          tx:      584 kbit/s  1182 p/s
   rx:     4.65 Gbit/s 70959 p/s          tx:      564 kbit/s  1135 p/s
   rx:     4.70 Gbit/s 71662 p/s          tx:      584 kbit/s  1177 p/s
   rx:     4.69 Gbit/s 71606 p/s          tx:      588 kbit/s  1187 p/s
   rx:     4.58 Gbit/s 69867 p/s          tx:      576 kbit/s  1160 p/s
   rx:     4.74 Gbit/s 72363 p/s          tx:      572 kbit/s  1150 p/s
   rx:     4.62 Gbit/s 70546 p/s          tx:      588 kbit/s  1183 p/s
   rx:     4.60 Gbit/s 70205 p/s          tx:      556 kbit/s  1121 p/s
   rx:     4.60 Gbit/s 70261 p/s          tx:      588 kbit/s  1185 p/s
   rx:     4.62 Gbit/s 70482 p/s          tx:      560 kbit/s  1131 p/s
   rx:     4.57 Gbit/s 69808 p/s          tx:      580 kbit/s  1168 p/s
   rx:     4.65 Gbit/s 70923 p/s          tx:      552 kbit/s  1115 p/s
   rx:     4.50 Gbit/s 68600 p/s          tx:      580 kbit/s  1171 p/s
   rx:     4.71 Gbit/s 71798 p/s          tx:      560 kbit/s  1128 p/s
   rx:     4.50 Gbit/s 68723 p/s          tx:      564 kbit/s  1139 p/s
   rx:     4.63 Gbit/s 70587 p/s          tx:      568 kbit/s  1150 p/s
   rx:     4.60 Gbit/s 70144 p/s          tx:      568 kbit/s  1143 p/s
   rx:     4.60 Gbit/s 70135 p/s          tx:      576 kbit/s  1164 p/s
   rx:     4.63 Gbit/s 70610 p/s          tx:      564 kbit/s  1136 p/s
   rx:     4.59 Gbit/s 70027 p/s          tx:      584 kbit/s  1178 p/s
   rx:     4.63 Gbit/s 70722 p/s          tx:      560 kbit/s  1131 p/s
   rx:     4.70 Gbit/s 71780 p/s          tx:      584 kbit/s  1175 p/s
   rx:     4.52 Gbit/s 68966 p/s          tx:      572 kbit/s  1150 p/s
   rx:     4.64 Gbit/s 70751 p/s          tx:      576 kbit/s  1161 p/s
   rx:     4.59 Gbit/s 69984 p/s          tx:      568 kbit/s  1144 p/s
   rx:     4.73 Gbit/s 72173 p/s          tx:      576 kbit/s  1163 p/s
   rx:     4.49 Gbit/s 68568 p/s          tx:      576 kbit/s  1158 p/s
   rx:     4.67 Gbit/s 71293 p/s          tx:      572 kbit/s  1154 p/s
   rx:     4.55 Gbit/s 69456 p/s          tx:      572 kbit/s  1150 p/s
   rx:     4.73 Gbit/s 72144 p/s          tx:      576 kbit/s  1160 p/s
   rx:     4.50 Gbit/s 68697 p/s          tx:      580 kbit/s  1167 p/s
   rx:     4.74 Gbit/s 72273 p/s          tx:      568 kbit/s  1142 p/s
   rx:     4.48 Gbit/s 68378 p/s          tx:      576 kbit/s  1162 p/s
   rx:     4.68 Gbit/s 71431 p/s          tx:      568 kbit/s  1147 p/s
   rx:     4.54 Gbit/s 69307 p/s          tx:      568 kbit/s  1146 p/s
   rx:     4.63 Gbit/s 70633 p/s          tx:      576 kbit/s  1162 p/s
   rx:     4.59 Gbit/s 70109 p/s          tx:      560 kbit/s  1132 p/s
   rx:     4.57 Gbit/s 69679 p/s          tx:      580 kbit/s  1167 p/s
   rx:     4.66 Gbit/s 71063 p/s          tx:      564 kbit/s  1141 p/s
   rx:     4.59 Gbit/s 70019 p/s          tx:      576 kbit/s  1162 p/s
   rx:     4.63 Gbit/s 70711 p/s          tx:      556 kbit/s  1118 p/s
   rx:     4.48 Gbit/s 68375 p/s          tx:      576 kbit/s  1161 p/s
   rx:     4.66 Gbit/s 71092 p/s          tx:      568 kbit/s  1145 p/s
   rx:     4.56 Gbit/s 69652 p/s          tx:      572 kbit/s  1151 p/s
   rx:     4.63 Gbit/s 70585 p/s          tx:      572 kbit/s  1155 p/s
   rx:     4.60 Gbit/s 70136 p/s          tx:      556 kbit/s  1123 p/s
   rx:     4.49 Gbit/s 68578 p/s          tx:      580 kbit/s  1166 p/s
   rx:     4.70 Gbit/s 71730 p/s          tx:      564 kbit/s  1138 p/s
   rx:     4.51 Gbit/s 68798 p/s          tx:      568 kbit/s  1145 p/s
   rx:     4.62 Gbit/s 70439 p/s          tx:      576 kbit/s  1162 p/s
   rx:     4.61 Gbit/s 70298 p/s          tx:      560 kbit/s  1129 p/s
   rx:     4.52 Gbit/s 68962 p/s          tx:      576 kbit/s  1164 p/s
   rx:     4.70 Gbit/s 71742 p/s          tx:      560 kbit/s  1125 p/s
   rx:     4.48 Gbit/s 68408 p/s          tx:      572 kbit/s  1153 p/s
   rx:     4.65 Gbit/s 70894 p/s          tx:      568 kbit/s  1147 p/s
   rx:     3.87 Gbit/s 59067 p/s          tx:      476 kbit/s   933 p/s
