   rx:     5.01 Gbit/s 76418 p/s          tx:      616 kbit/s  1245 p/s
   rx:     4.79 Gbit/s 73026 p/s          tx:      608 kbit/s  1224 p/s
   rx:     5.22 Gbit/s 79670 p/s          tx:      632 kbit/s  1272 p/s
   rx:     5.14 Gbit/s 78473 p/s          tx:      644 kbit/s  1297 p/s
   rx:     4.88 Gbit/s 74475 p/s          tx:      616 kbit/s  1242 p/s
   rx:     4.94 Gbit/s 75404 p/s          tx:      600 kbit/s  1205 p/s
   rx:     5.07 Gbit/s 77376 p/s          tx:      620 kbit/s  1253 p/s
   rx:     5.26 Gbit/s 80237 p/s          tx:      644 kbit/s  1297 p/s
   rx:     5.02 Gbit/s 76588 p/s          tx:      632 kbit/s  1276 p/s
   rx:     4.74 Gbit/s 72367 p/s          tx:      576 kbit/s  1160 p/s
   rx:     5.01 Gbit/s 76420 p/s          tx:      628 kbit/s  1268 p/s
   rx:     5.26 Gbit/s 80258 p/s          tx:      640 kbit/s  1292 p/s
   rx:     4.75 Gbit/s 72532 p/s          tx:      588 kbit/s  1184 p/s
   rx:     5.01 Gbit/s 76405 p/s          tx:      624 kbit/s  1257 p/s
   rx:     5.24 Gbit/s 79931 p/s          tx:      640 kbit/s  1292 p/s
   rx:     5.12 Gbit/s 78075 p/s          tx:      644 kbit/s  1296 p/s
   rx:     5.13 Gbit/s 78268 p/s          tx:      624 kbit/s  1255 p/s
   rx:     5.16 Gbit/s 78712 p/s          tx:      644 kbit/s  1295 p/s
   rx:     5.18 Gbit/s 79060 p/s          tx:      628 kbit/s  1262 p/s
   rx:     5.09 Gbit/s 77639 p/s          tx:      644 kbit/s  1302 p/s
   rx:     5.19 Gbit/s 79204 p/s          tx:      624 kbit/s  1260 p/s
   rx:     5.18 Gbit/s 79023 p/s          tx:      644 kbit/s  1296 p/s
   rx:     5.10 Gbit/s 77807 p/s          tx:      624 kbit/s  1257 p/s
   rx:     5.18 Gbit/s 79024 p/s          tx:      644 kbit/s  1299 p/s
   rx:     5.10 Gbit/s 77883 p/s          tx:      628 kbit/s  1265 p/s
   rx:     5.27 Gbit/s 80641 p/s          tx:      640 kbit/s  1293 p/s
   rx:     5.25 Gbit/s 80216 p/s          tx:      648 kbit/s  1304 p/s
   rx:     5.14 Gbit/s 78509 p/s          tx:      648 kbit/s  1310 p/s
   rx:     5.06 Gbit/s 77145 p/s          tx:      620 kbit/s  1248 p/s
   rx:     5.04 Gbit/s 76907 p/s          tx:      620 kbit/s  1249 p/s
   rx:     5.08 Gbit/s 77471 p/s          tx:      624 kbit/s  1254 p/s
   rx:     5.08 Gbit/s 77483 p/s          tx:      640 kbit/s  1294 p/s
   rx:     5.20 Gbit/s 79330 p/s          tx:      620 kbit/s  1250 p/s
   rx:     5.01 Gbit/s 76396 p/s          tx:      620 kbit/s  1246 p/s
   rx:     5.11 Gbit/s 78053 p/s          tx:      640 kbit/s  1292 p/s
   rx:     5.16 Gbit/s 78794 p/s          tx:      628 kbit/s  1266 p/s
   rx:     5.26 Gbit/s 80233 p/s          tx:      644 kbit/s  1298 p/s
   rx:     5.06 Gbit/s 77225 p/s          tx:      632 kbit/s  1278 p/s
   rx:     5.23 Gbit/s 79780 p/s          tx:      632 kbit/s  1270 p/s
   rx:     5.01 Gbit/s 76426 p/s          tx:      636 kbit/s  1279 p/s
   rx:     5.22 Gbit/s 79651 p/s          tx:      632 kbit/s  1272 p/s
   rx:     5.06 Gbit/s 77168 p/s          tx:      632 kbit/s  1270 p/s
   rx:     5.18 Gbit/s 79010 p/s          tx:      640 kbit/s  1289 p/s
   rx:     4.96 Gbit/s 75736 p/s          tx:      616 kbit/s  1242 p/s
   rx:     4.98 Gbit/s 76037 p/s          tx:      620 kbit/s  1250 p/s
   rx:     5.01 Gbit/s 76420 p/s          tx:      616 kbit/s  1244 p/s
   rx:     4.94 Gbit/s 75348 p/s          tx:      600 kbit/s  1215 p/s
   rx:     5.09 Gbit/s 77691 p/s          tx:      628 kbit/s  1269 p/s
   rx:     5.15 Gbit/s 78563 p/s          tx:      616 kbit/s  1243 p/s
   rx:     5.20 Gbit/s 79372 p/s          tx:      648 kbit/s  1308 p/s
   rx:     5.07 Gbit/s 77397 p/s          tx:      620 kbit/s  1247 p/s
   rx:     4.97 Gbit/s 75771 p/s          tx:      620 kbit/s  1252 p/s
   rx:     4.94 Gbit/s 75359 p/s          tx:      616 kbit/s  1242 p/s
   rx:     5.12 Gbit/s 78142 p/s          tx:      624 kbit/s  1258 p/s
   rx:     5.10 Gbit/s 77762 p/s          tx:      632 kbit/s  1272 p/s
   rx:     4.97 Gbit/s 75771 p/s          tx:      620 kbit/s  1248 p/s
   rx:     5.22 Gbit/s 79683 p/s          tx:      632 kbit/s  1277 p/s
   rx:     5.07 Gbit/s 77387 p/s          tx:      640 kbit/s  1293 p/s
   rx:     5.18 Gbit/s 79088 p/s          tx:      624 kbit/s  1257 p/s
   rx:     5.13 Gbit/s 78307 p/s          tx:      648 kbit/s  1303 p/s
   rx:     5.08 Gbit/s 77554 p/s          tx:      620 kbit/s  1251 p/s
   rx:     5.06 Gbit/s 77154 p/s          tx:      620 kbit/s  1247 p/s
   rx:     5.04 Gbit/s 76967 p/s          tx:      628 kbit/s  1262 p/s
   rx:     5.01 Gbit/s 76412 p/s          tx:      624 kbit/s  1256 p/s
   rx:     5.00 Gbit/s 76331 p/s          tx:      604 kbit/s  1218 p/s
   rx:     4.92 Gbit/s 75029 p/s          tx:      620 kbit/s  1249 p/s
   rx:     5.15 Gbit/s 78543 p/s          tx:      640 kbit/s  1287 p/s
   rx:     5.22 Gbit/s 79715 p/s          tx:      632 kbit/s  1272 p/s
   rx:     5.09 Gbit/s 77715 p/s          tx:      640 kbit/s  1293 p/s
   rx:     5.11 Gbit/s 78030 p/s          tx:      620 kbit/s  1253 p/s
   rx:     5.08 Gbit/s 77579 p/s          tx:      636 kbit/s  1284 p/s
   rx:     5.15 Gbit/s 78535 p/s          tx:      624 kbit/s  1258 p/s
