   rx:     2.11 Gbit/s 32396 p/s          tx:      260 kbit/s   522 p/s
   rx:     2.67 Gbit/s 40898 p/s          tx:      324 kbit/s   644 p/s
   rx:     3.70 Gbit/s 56486 p/s          tx:      468 kbit/s   940 p/s
   rx:     1.84 Gbit/s 28153 p/s          tx:      236 kbit/s   470 p/s
   rx:     1.84 Gbit/s 28151 p/s          tx:      232 kbit/s   464 p/s
   rx:     4.48 Gbit/s 68354 p/s          tx:      556 kbit/s  1115 p/s
   rx:     1.84 Gbit/s 28147 p/s          tx:      228 kbit/s   461 p/s
   rx:     1.84 Gbit/s 28144 p/s          tx:      208 kbit/s   417 p/s
   rx:     2.11 Gbit/s 32166 p/s          tx:      272 kbit/s   547 p/s
   rx:     2.64 Gbit/s 40208 p/s          tx:      340 kbit/s   680 p/s
   rx:     2.11 Gbit/s 32168 p/s          tx:      264 kbit/s   528 p/s
   rx:     1.32 Gbit/s 20108 p/s          tx:      164 kbit/s   330 p/s
   rx:     2.11 Gbit/s 32164 p/s          tx:      260 kbit/s   526 p/s
   rx:     1.84 Gbit/s 28146 p/s          tx:      228 kbit/s   458 p/s
   rx:     2.11 Gbit/s 32165 p/s          tx:      260 kbit/s   525 p/s
   rx:     1.84 Gbit/s 28145 p/s          tx:      228 kbit/s   459 p/s
   rx:     2.11 Gbit/s 32167 p/s          tx:      264 kbit/s   526 p/s
   rx:     2.64 Gbit/s 40202 p/s          tx:      320 kbit/s   645 p/s
   rx:     1.73 Gbit/s 26449 p/s          tx:      204 kbit/s   405 p/s
   rx:     1.69 Gbit/s 25825 p/s          tx:      228 kbit/s   460 p/s
   rx:     2.11 Gbit/s 32166 p/s          tx:      260 kbit/s   526 p/s
   rx:     2.11 Gbit/s 32165 p/s          tx:      260 kbit/s   523 p/s
   rx:     2.11 Gbit/s 32166 p/s          tx:      264 kbit/s   527 p/s
   rx:     1.58 Gbit/s 24127 p/s          tx:      196 kbit/s   396 p/s
   rx:     2.11 Gbit/s 32166 p/s          tx:      260 kbit/s   525 p/s
   rx:     2.11 Gbit/s 32165 p/s          tx:      260 kbit/s   523 p/s
   rx:     1.84 Gbit/s 28021 p/s          tx:      208 kbit/s   416 p/s
   rx:     2.12 Gbit/s 32291 p/s          tx:      272 kbit/s   546 p/s
   rx:     1.69 Gbit/s 25856 p/s          tx:      208 kbit/s   420 p/s
   rx:     3.31 Gbit/s 50546 p/s          tx:      424 kbit/s   853 p/s
   rx:     1.65 Gbit/s 25212 p/s          tx:      200 kbit/s   397 p/s
   rx:     1.77 Gbit/s 27068 p/s          tx:      232 kbit/s   462 p/s
   rx:     2.11 Gbit/s 32167 p/s          tx:      264 kbit/s   528 p/s
   rx:     2.29 Gbit/s 34914 p/s          tx:      264 kbit/s   531 p/s
   rx:     2.15 Gbit/s 32733 p/s          tx:      268 kbit/s   533 p/s
   rx:     1.36 Gbit/s 20813 p/s          tx:      192 kbit/s   382 p/s
   rx:     1.24 Gbit/s 18904 p/s          tx:      136 kbit/s   271 p/s
   rx:     1.92 Gbit/s 29352 p/s          tx:      260 kbit/s   521 p/s
   rx:     2.37 Gbit/s 36189 p/s          tx:      308 kbit/s   617 p/s
   rx:     2.11 Gbit/s 32173 p/s          tx:      268 kbit/s   533 p/s
   rx:     1.95 Gbit/s 29709 p/s          tx:      228 kbit/s   461 p/s
   rx:     3.06 Gbit/s 46693 p/s          tx:      392 kbit/s   786 p/s
   rx:     1.70 Gbit/s 25884 p/s          tx:      200 kbit/s   398 p/s
   rx:     2.84 Gbit/s 43328 p/s          tx:      352 kbit/s   710 p/s
   rx:     2.92 Gbit/s 44626 p/s          tx:      372 kbit/s   745 p/s
   rx:     2.08 Gbit/s 31777 p/s          tx:      260 kbit/s   525 p/s
   rx:     2.37 Gbit/s 36183 p/s          tx:      276 kbit/s   551 p/s
   rx:     2.11 Gbit/s 32164 p/s          tx:      268 kbit/s   534 p/s
   rx:     1.05 Gbit/s 16104 p/s          tx:      152 kbit/s   299 p/s
